web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345500-2153,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,Campioncini,https://www.notino.it/campioncini-di-profumo/,,,,,,,,,,,,,,,,
1595345498-2050,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,Cura del viso,https://www.notino.it/cura-del-viso/,,,,,,,,,,
1595345500-2174,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,Phon,https://www.notino.it/phon-per-capelli/,,,,,,,,,,,,,,
1595345490-1553,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,Profumi legnosi,https://www.notino.it/profumi-legnosi/,,,,,,,,,,,,,,,,
1595345495-1840,https://www.notino.it,Make-up,https://www.notino.it/make-up/,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,,,,
1595345493-1718,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,Pettini e spazzole,https://www.notino.it/pettini-e-spazzole-per-capelli/,,,,,,,,,,,,,,
1595345500-2291,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,,,,,,,,,,,SPF 30–50+,https://www.notino.it/creme-solari/?f=1-1-2-52434-3907-40565
1595345495-1969,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,,,,,,,Diffusori di aromi,https://www.notino.it/diffusore-di-aromi/,,
1595345495-1883,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,Capelli mossi e ricci,https://www.notino.it/capelli-mossi-e-ricci/,,,,,,,,,,,,,,
1595345490-1656,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,,,Profumi uomo,https://www.notino.it/profumi-uomo/,,,,
1595345500-2262,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,,,,,,,Balsamo dopobarba,https://www.notino.it/balsamo-dopobarba/,,,,
1595345505-2558,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,,,Unghie,https://www.notino.it/unghie/,,,,,,
1595345505-2528,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,Deodoranti e antitraspiranti,https://www.notino.it/deodoranti-e-antitraspiranti/,,,,,,,,
1595345488-1536,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,,,,,,,,,,,SPF 15–25,https://www.notino.it/creme-solari/?f=1-1-2-52434-3906
1595345493-1828,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,,,,,,,,,,,Prodotti solari per il corpo,https://www.notino.it/creme-solari/?f=1-1-2-52434-3646-52440-52441
